time,tavg,tmin,tmax,prcp,season
04-05-1991,32.8,24.1,41.0,0.0,spring
05-05-1991,33.1,24.7,40.9,0.0,spring
06-05-1991,33.4,27.1,39.7,0.0,spring
07-05-1991,31.7,26.7,39.5,0.0,spring
08-05-1991,33.2,26.5,40.3,0.0,spring
09-05-1991,33.6,,40.1,,spring
10-05-1991,29.9,22.6,36.9,0.5,spring
11-05-1991,28.7,22.3,37.4,0.0,spring
12-05-1991,30.8,22.7,38.6,0.0,spring
13-05-1991,34.6,,41.4,0.0,spring
14-05-1991,35.2,26.7,42.0,0.0,spring
15-05-1991,,,,,spring
16-05-1991,33.7,26.3,42.0,0.0,spring
17-05-1991,33.7,25.5,41.9,0.0,spring
18-05-1991,33.7,27.0,40.8,0.0,spring
19-05-1991,33.9,26.6,39.4,0.0,spring
20-05-1991,30.8,26.8,36.5,0.5,spring
21-05-1991,28.2,,,0.0,spring
22-05-1991,30.7,22.5,38.5,16.8,spring
23-05-1991,33.2,25.6,40.1,0.0,spring
24-05-1991,32.9,27.5,41.1,0.0,spring
25-05-1991,32.8,,47.3,,spring
26-05-1991,31.7,22.2,38.3,0.0,spring
27-05-1991,32.8,27.6,39.0,,spring
28-05-1991,34.2,26.2,41.2,0.0,spring
29-05-1991,33.5,25.6,39.7,0.0,spring
30-05-1991,34.9,26.1,40.8,0.0,spring
31-05-1991,33.8,27.2,40.3,0.0,spring
01-06-1991,32.7,27.0,39.9,0.0,summer
02-06-1991,32.5,27.6,,0.0,summer
03-06-1991,33.8,28.3,40.4,0.0,summer
04-06-1991,36.4,28.7,40.3,0.0,summer
05-06-1991,29.1,,33.0,,summer
06-06-1991,32.2,,36.7,,summer
07-06-1991,,,,,summer
08-06-1991,,,,,summer
09-06-1991,32.4,,,0.0,summer
10-06-1991,31.9,,35.6,0.0,summer
11-06-1991,26.8,,32.5,,summer
12-06-1991,30.3,23.8,37.0,0.0,summer
13-06-1991,32.9,26.7,38.5,0.0,summer
14-06-1991,34.9,28.6,40.6,0.0,summer
15-06-1991,33.2,29.7,37.4,0.0,summer
16-06-1991,34.9,30.0,38.5,0.0,summer
17-06-1991,33.2,,40.9,,summer
18-06-1991,30.7,25.8,35.0,1.5,summer
19-06-1991,27.4,21.5,33.3,17.3,summer
20-06-1991,31.5,,36.3,0.0,summer
21-06-1991,32.2,26.9,37.8,0.0,summer
22-06-1991,31.7,26.8,37.9,0.0,summer
23-06-1991,33.9,27.0,40.5,0.0,summer
24-06-1991,36.1,28.4,41.5,0.0,summer
25-06-1991,35.5,,42.0,0.0,summer
26-06-1991,36.3,30.9,42.4,0.0,summer
27-06-1991,35.3,,42.2,0.0,summer
28-06-1991,35.4,29.6,42.2,0.0,summer
29-06-1991,34.9,28.0,41.6,0.0,summer
